model,timeframe,dtype,coef,ci_lower,ci_upper,se
seidel_1983,1983-2024,model_forcing,0.6111406036154299,0.5748291501343123,0.6474520570965474,0.01852625177608037
hansen_1984_lower,1980-2010,model_time,0.016717627375806544,0.0101786147596312,0.023256639991981888,0.0033362309266200736
hansen_1984_lower,1980-2010,model_forcing,0.3812177891536649,0.3582846900732281,0.40415088823410167,0.011700560755324888
hansen_1984_median,1980-2010,model_time,0.018284642168548488,0.01766738894087,0.018901895396226977,0.0003149251161624943
hansen_1984_median,1980-2010,model_forcing,0.41702162331754,0.388407634220618,0.445635612414462,0.014598974029041825
hansen_1984_upper,1980-2010,model_time,0.01985165696129043,0.019150526180227063,0.0205527877423538,0.0003577197862568204
hansen_1984_upper,1980-2010,model_forcing,0.4528254574814152,0.42030870139552196,0.4853422135673084,0.01659018167647613
bach_1985,1980-2024,model_time,0.02749907214274258,0.025232824421847797,0.029765319863637365,0.0011562488371912162
bach_1985,1980-2024,model_forcing,0.5999558546032584,0.5999465576480136,0.5999651515585032,4.74334451263477e-06
hoffert_1985,1985-2024,model_time,0.03510458302241988,0.03371766896256786,0.0364914970822719,0.0007076092142102154
hoffert_1985,1985-2024,model_forcing,0.5334637644923677,0.4955640324571377,0.5713634965275977,0.019336597977158154
dickinson_1986_lower,1985-2024,model_time,0.007692307692307618,0.007692307692307421,0.007692307692307815,1.0045465026702429e-16
dickinson_1986_lower,1985-2024,model_forcing,0.22727272727272718,0.22727272727272715,0.2272727272727272,1.416100796715761e-17
dickinson_1986_median,1985-2024,model_time,0.054615384615384066,0.05461538461538245,0.05461538461538568,8.248787140869307e-16
dickinson_1986_median,1985-2024,model_forcing,0.7553191489361701,0.7553097585448578,0.7553285393274825,4.791015975670355e-06
dickinson_1986_upper,1985-2024,model_time,0.10153846153846052,0.10153846153845733,0.10153846153846371,1.6285159162231251e-15
dickinson_1986_upper,1985-2024,model_forcing,0.9166666666666664,0.9166666666666663,0.9166666666666665,5.664403186863044e-17
jones_1987,1987-2024,model_time,0.025504354982274442,0.024738955364123516,0.02626975460042537,0.00039051000926067664
jones_1987,1987-2024,model_forcing,0.4783325819346107,0.4721436775640439,0.4845214863051775,0.0031576042706973444
peng_1987_lower,1987-2024,model_time,0.012361008302659262,0.00692126272823951,0.017800753877079016,0.0027753803951121193
peng_1987_lower,1987-2024,model_forcing,0.3968823979100609,0.394217828995803,0.39954696682431884,0.0013594739358458803
peng_1987_median,1987-2024,model_time,0.013923542501751106,0.013532956404428519,0.014314128599073694,0.00019927862108295283
peng_1987_median,1987-2024,model_forcing,0.4469500382908499,0.4406247055358506,0.4532753710458492,0.0032272105892853582
peng_1987_upper,1987-2024,model_time,0.015486076700842951,0.015061224214733285,0.015910929186952617,0.00021676147250493177
peng_1987_upper,1987-2024,model_forcing,0.49701767867163893,0.48531509644675136,0.5087202608965264,0.005970705216779358
ramanathan_1987_a_lower,1987-2024,model_time,0.01452160795688842,0.014338545260395552,0.014704670653381288,9.339933494534084e-05
ramanathan_1987_a_lower,1987-2024,model_forcing,0.3289106467102486,0.3191555449785594,0.3386657484419378,0.004977092720249591
ramanathan_1987_a_median,1987-2024,model_time,0.01531164882306636,0.015062999012551486,0.015560298633581235,0.00012686214822187452
ramanathan_1987_a_median,1987-2024,model_forcing,0.34679050578061277,0.33412684159615275,0.3594541699650728,0.006461053155336746
ramanathan_1987_a_upper,1987-2024,model_time,0.0161016896892443,0.015746254014401825,0.016457125364086774,0.0001813447320624871
ramanathan_1987_a_upper,1987-2024,model_forcing,0.3646703648509769,0.34758005698760375,0.3817606727143501,0.008719544828251621
ramanathan_1987_b_lower,1980-2024,model_time,0.020226929969073378,0.020226929969073163,0.020226929969073593,1.0974781174547148e-16
ramanathan_1987_b_lower,1980-2024,model_forcing,0.4618937644341803,0.4618821775775592,0.46190535129080135,5.911661541357009e-06
ramanathan_1987_b_median,1980-2024,model_time,0.03531751658449492,0.035317516584494744,0.03531751658449509,8.850629979473506e-17
ramanathan_1987_b_median,1980-2024,model_forcing,0.5106765503687513,0.5106765503687511,0.5106765503687514,5.664403186863044e-17
ramanathan_1987_b_upper,1980-2024,model_time,0.050408103199916454,0.05040810319991615,0.05040810319991676,1.557710876387337e-16
ramanathan_1987_b_upper,1980-2024,model_forcing,0.5332764505119454,0.5332764505026563,0.5332764505212345,4.73934950241644e-12
tricot_1987,1987-2024,model_time,0.028824512795601963,0.0284575560327426,0.029191469558461327,0.0001872228381935531
